Y,Scaled,nits
629,0.644977169,372.6046125
630,0.646118721,376.5994103
631,0.647260274,380.6357104
632,0.648401826,384.7139423
633,0.649543379,388.8345401
634,0.650684932,392.9979424
635,0.651826484,397.2045923
636,0.652968037,401.4549378
637,0.654109589,405.7494316
638,0.655251142,410.088531
639,0.656392694,414.4726984
640,0.657534247,418.9024009
641,0.658675799,423.3781107
642,0.659817352,427.9003049
643,0.660958904,432.4694656
644,0.662100457,437.0860802
645,0.663242009,441.7506411
646,0.664383562,446.463646
647,0.665525114,451.2255979
648,0.666666667,456.0370051
649,0.667808219,460.8983813
650,0.668949772,465.8102458
651,0.670091324,470.7731232
652,0.671232877,475.7875438
653,0.672374429,480.8540436
654,0.673515982,485.9731641
655,0.674657534,491.1454529
656,0.675799087,496.3714631
657,0.676940639,501.6517538
658,0.678082192,506.9868903
659,0.679223744,512.3774436
660,0.680365297,517.823991
661,0.681506849,523.3271159
662,0.682648402,528.8874079
663,0.683789954,534.5054629
664,0.684931507,540.1818833
665,0.686073059,545.9172778
666,0.687214612,551.7122618
667,0.688356164,557.567457
668,0.689497717,563.483492
669,0.690639269,569.4610021
670,0.691780822,575.5006293
671,0.692922374,581.6030226
672,0.694063927,587.768838
673,0.695205479,593.9987384
674,0.696347032,600.2933939
675,0.697488584,606.6534817
676,0.698630137,613.0796866
677,0.699771689,619.5727004
678,0.700913242,626.1332225
679,0.702054795,632.7619599
680,0.703196347,639.4596271
681,0.7043379,646.2269462
682,0.705479452,653.0646475
683,0.706621005,659.9734687
684,0.707762557,666.9541557
685,0.70890411,674.0074624
686,0.710045662,681.134151
687,0.711187215,688.3349916
688,0.712328767,695.610763
689,0.71347032,702.9622522
690,0.714611872,710.3902547
691,0.715753425,717.8955747
692,0.716894977,725.4790252
693,0.71803653,733.1414278
694,0.719178082,740.8836132
695,0.720319635,748.706421
696,0.721461187,756.6106999
697,0.72260274,764.5973079
698,0.723744292,772.6671123
699,0.724885845,780.8209897
700,0.726027397,789.0598265
701,0.72716895,797.3845185
702,0.728310502,805.7959713
703,0.729452055,814.2951005
